preferencia,titulo,comuna,estacion_cercana,distancia_estacion,dormitorios,baños,estacionamientos,bodegas,superficie_total,superficie_util,currency_symbol,precio,gastos_comunes,search_gc,descripcion,direccion,url
0,Las Arañas/ Av. Ossa/ Metro Príncipe De Gales,La Reina,Príncipe de Gales,412,3,2,1,1,118,98,$,820000,110000,0,"departamento con vista despejada a la cordillera de 3d2b dormitorio en suite con bano con luz natural closet tradicional y salida a terraza privada cocina independiente con horno empotrado encimera a gas y logia living y comedor juntos con salida a terraza cercano a supermercado comercio farmacias restaurants y a pasos del metro principe de gales,caracteristicas,m2 totales 118,m2 utiles 98,m2 terraza 20,orientacion poniente sur y oriente,ano de construccion 1999,n dormitorios 3,n banos 2,n estacionamientos 1,n bodegas 1,piso 20,piso areas comunes ceramica,piso banos y cocina ceramica,piso dormitorios ceramica,agua caliente calefont,gastos comunes 110000 incluye mantenciones del edificio piscina y sector de eventos,otros de la propiedad,cocina independiente,horno empotrado,encimera a gas,citofono,logia,otros de la comunidad,conserjeria 24 hrs,estacionamiento de visita,ascensor,lavanderia,piscina,sala de eventos,juegos infantiles,sala multiuso,areas verdes","Las Arañas/ Av. Ossa/ Metro Príncipe De Gales, Metro Príncipe de Gales - Country Club, La Reina, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-978770452-las-aranas-av-ossa-metro-principe-de-gales-_JM#position=1&search_layout=stack&type=item&tracking_id=7cfc3f2d-adc3-46d7-bda6-b9a0b7c9587e
0,"Luminoso Depto 4 Dorm 3 Baños + 3 Est Y 2 Bod, P De Gales",La Reina,Príncipe de Gales,425,4,3,3,2,135,128,$,1400000,180000,0,"luminoso depto 4 dorm 3 banos 3 est y 2 bod p de gales,loreley 1736 la reina,dosque riquelme propiedades arrienda,opciones,full amoblado 1800000,sin amoblar 1400000,arriendo en uf se convertira el dia de inicio de vigencia del contrato,caracteristicas de unidad,luminoso departamento con vista despejada orientacion nororiente 135 mts2 totales 1279 mts2 utiles ubicado en 12 piso cuyo programa esta compuesto de palier de entrada amplio living comedor 4 dormitorios 3 banos principal en suite closet en todos los dormitorios suite con walkincloset cocina tradicional amoblada y equipada con horno y campana electrica y encimera vitroceramica 4 quemadores loggia con instalacion para lavadora living comedor y dormitorios con piso flotante, ,gastos comunes aprox 180000,incluye 3 estacionamientos subterraneo,incluye 2 bodegas,caracteristicas del edificio,hall de acceso de doble altura acceso al edificio controlado conserjeria 24 hrs cctv estacionamiento de visitas gimnasio piscina quinchos juegos infantiles lavanderia sala de eventos ascensores, ,informacion adicional,ubicado cerca del grange school country club metro l4 principe de gales supermercados comercio colegios transporte publico etc ,mas informacion al formulario de contacto","Loreley 1736, La Reina, Chile, Metro Príncipe de Gales - Country Club, La Reina, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-985300708-luminoso-depto-4-dorm-3-banos-3-est-y-2-bod-p-de-gales-_JM#position=30&search_layout=stack&type=item&tracking_id=7cfc3f2d-adc3-46d7-bda6-b9a0b7c9587e
0,Dpto. Peñalolen - Jose Arrieta,La Reina,Fernando Castillo Velasco,1433,2,1,,,45,45,$,370000,5000,0,departamento ubicado en jose arrieta con ictinos dos dormitorios living comedor cocina un bano segundo piso,"José Arrieta 6855, Penalolen, Peñalolén, Chile, Francisco de Villagra, La Reina, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-986074549-dpto-penalolen-jose-arrieta-_JM#position=31&search_layout=stack&type=item&tracking_id=7cfc3f2d-adc3-46d7-bda6-b9a0b7c9587e
0,Departamento La Reina,La Reina,,,3,3,3,1,190,140,UF,1898413,,0,"hermoso departamento ubicado en exclusivo condominio de la reina alta nuevo sin uso tres dormitorios tres banos uno en suite 140m2 mas 50mts de terraza,cocina isla finamente equipada,calefaccion por piso ,seguridad 247 con sistema integrado de camara digital,gasto comun aproximado 6uf ,solo dos departamentos por piso ,disponible a partir del 1 junio","Alvaro Casanova 1453, La Reina, Chile, La Reina Alta, La Reina, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-984833724-departamento-la-reina-_JM#position=29&search_layout=stack&type=item&tracking_id=7cfc3f2d-adc3-46d7-bda6-b9a0b7c9587e
0,John Jackson / Colegio Grange,La Reina,Príncipe de Gales,966,4,3,2,,162,137,$,1500000,200000,0,"duplex nuevo a estrenar,primer piso con jardin,conserjeria 247,john jackson colegio grange ,hall de entrada escritorio opcion 4to dormitorio 1 bano completo bano de visita amplio livingcomedor con salida a jardin cocina americana equipada,2 piso amplio hall de distribucion con espacio para escritorio 1 bano completo 2 dormitorios con closets 1dormitorio principal en suite con walkincloset,2 estacionamientos bodega","Pje. Nocedal 6300 - 6600, Santiago, La Reina, Región Metropolitana, Chile, Metro Príncipe de Gales - Country Club, La Reina, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-977691330-john-jackson-colegio-grange-_JM#position=26&search_layout=stack&type=item&tracking_id=7cfc3f2d-adc3-46d7-bda6-b9a0b7c9587e
0,Arriendo La Reina Metro P De Gales 3d - 2b - Est Bod 118 M2,La Reina,Príncipe de Gales,233,3,2,1,1,118,98,$,830000,110000,0,"arriendo departamento metro las aranas ubicado a 2 cuadras de metro principe de gales 3 dormitorios 2 banos estacionamiento bodega 118 m2,,,iluminado y recien pintado departamento 3 dormitorios 2 banos principal en suite con salida terraza,amplio living comedor con salida a terraza,cocina con logia,gran terraza ,9 closets,malla de proteccion,,ubicacion privilegiada de la reina con excelente conectividad ubicado a pasos de av ossa y av tobalaba a dos cuadra del metro principe de gales,variados servicios a mano supermercado farmacias restaurantes banco bencinera comercio the grange school,,edificio con conserjeria 247 piscina lavanderia sala de reuniones estacionamiento de visitas,,gastos comunes 110000,,orientacion nor oriente sur poniente,,incluye estacionamiento y bodega,,interesados llamar o escribir via whatsapp al 9 98297227","Las Arañas / Av. Ossa, Metro Príncipe de Gales - Country Club, La Reina, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-983284339-arriendo-la-reina-metro-p-de-gales-3d-2b-est-bod-118-m2-_JM#position=27&search_layout=stack&type=item&tracking_id=7cfc3f2d-adc3-46d7-bda6-b9a0b7c9587e
0,"Espectacular Penth House Con Hot Tub, Barrio Principe De Gal",La Reina,,,3,3,3,1,254,174,$,2500000,250000,0,"este moderno y amplio departamento se encuentra en el ultimo nivel de un edificio de 3 pisos cada nivel cuenta con solo 4 unidades lo que favorece la seguridad y privacidad de la propiedad,esta ubicado en un exclusivo condominio del area residencial de principe de gales y cercano a una gran variedad de comercio bancos cafes y restaurantes ademas de colegios como el andree english school y the grange school, ,vivir en este penthouse es como vivir con todas las comodidades de una casa pero en un departamento con modernos disenos interiores estilo y multiples areas de gran amplitud y funcionalidad, ,al entrar nos encontramos con un amplio hall de acceso que te invita a descubrir este enorme departamento justo frente a el se ubica una hermosa mampara con marco de madera que separa el ambiente del living comedor de las otras areas, ,el livingcomedor es holgado y con grandes ventanales que dejan entrar toda la luz natural generando un espacio bello y acogedor aca tambien encontramos un tipo isla que integra una moderna cocina americana completamente electrica y de finas y elegantes terminaciones el area de la cocina esta conectada con la loggia, ,por el living accedes a la primera terraza que se integra perfectamente a el y hace que se vea un espacio mas amplio y libre ademas podras disfrutar de una hermosa vista a la cordillera aca se encuentra la escalera para acceder a la segunda y enorme terraza que cuenta con un gran espacio de quincho hottub y sauna las palabras que resumen este lugar son simplemente espectacular, ,volviendo al hall de entrada hacia mano derecha nos encontramos con un dormitorio en suite que podria ser usado como dormitorio de servicio home office o una habitacion de invitados, ,siguiendo por el pasillo hacia mano izquierda esta el bano de visitas y luego una sala de estar de excelente tamano para disfrutar de entretenidas peliculas en familia o divertidos juegos de mesa luego de esta ludica area nos encontramos con el primer dormitorio de generoso espacio donde pueden facilmente ir hasta 2 camas de 1 plaza luego viene un bano que comparte con el segundo dormitorio, ,al final se encuentra el dormitorio principal en suite con walkin closet posee una terraza privada para disfrutar con la pareja de ricos desayunos o cocteles entretenidas conversaciones o grandes momentos romanticos haciendo de este tu lugar sonado, , tipologia, 254174 mt2,3d3b d y b de servicio,3 estacionamientos,2 terrazas,sala de estar, ,propiedades del condominio, plazoleta,piscina,juegos infantiles,sala de eventos ,seguridad 247,estacionamiento de visitas","Veintitrés De Febrero 8400 - 8700, La Reina, Chile, Carlos Ossandón, La Reina, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-983106356-espectacular-penth-house-con-hot-tub-barrio-principe-de-gal-_JM#position=23&search_layout=stack&type=item&tracking_id=7cfc3f2d-adc3-46d7-bda6-b9a0b7c9587e
0,Departamento En Arriendo De 4 Dorm. En La Reina,La Reina,Príncipe de Gales,425,4,3,3,2,"142,2","127,9",$,1400000,180000,0,"se arrienda luminoso departamento con vista espectacular a pasos del metro principe de gales,doble puerta entrada palier recepcion ,cocina cerrada equipada con comedor de diario y amueblada ,logia para lavadora con lavadero ,hall de distribucion ,puerta de acceso a amplio living comedor con acceso a terraza continua conectada a suite matrimonial ,suite amplia cama king wolking closet ,bano completo,segundo y tercer dormitorio mismo tamano ,cuarto dormitorio o sala de estar ,gastos comunes 180000 ,el departamento se arrienda amueblado en 1600000 sin amueblar 1300000","Metro Príncipe De Galés, La Reina, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-984401572-departamento-en-arriendo-de-4-dorm-en-la-reina-_JM#position=24&search_layout=stack&type=item&tracking_id=7cfc3f2d-adc3-46d7-bda6-b9a0b7c9587e
0,Departamento Edificio Country Club Plaza,La Reina,Príncipe de Gales,412,3,2,1,1,118,98,$,830000,110000,0,"metro principe de gales,precioso departamento ubicado a solo una cuadra del metro principe de gales con todas las comodidades que necesitas,livingcomedor espacioso con salida a terraza dormitorio principal en suite con salida a pequena terraza dos dormitorios de igual tamano con bano compartido cocina con pequena loggia gran terraza junto al living totalmente independiente,caracteristicas del departamento,ano de construccion 1999,3 dormitorios,2 banos,9 closet,1 bodega,1 estacionamiento,recien pintado,piso 20,malla de proteccion,gastos comunes 110000,el edificio cuenta con piscina lavanderia sala de reuniones estacionamientos de visita edificio de 24 pisos","Las Arañas 5805, Santiago, La Reina, Chile, Metro Príncipe de Gales - Country Club, La Reina, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-977399191-departamento-edificio-country-club-plaza-_JM#position=35&search_layout=stack&type=item&tracking_id=7cfc3f2d-adc3-46d7-bda6-b9a0b7c9587e
0,Departamento Estudio De Un Ambiente,La Reina,Simón Bolívar,485,1,1,1,,24,18,$,380000,0,0,depto amoblado bien ubicado cerca de metro plaza egana y simon bolivar locomocion mall plazas centros medicos clinicas supermercados con cama de dos plazas closet comoda tv sillon mesa veladores alfombras cortinas refrigerador horno microondas campana extractora microondas muebles de cocina lavaplatos lavadora calefon a gas cilindros de gas patio independiente extintor de fuego,"Avenida Simón Bolívar 5700 - 6000, La Reina, Chile, Metro Simón Bolivar, La Reina, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-974208649-departamento-estudio-de-un-ambiente-_JM#position=34&search_layout=stack&type=item&tracking_id=7cfc3f2d-adc3-46d7-bda6-b9a0b7c9587e
