comuna,dormitorios,baños,estacionamientos,bodegas,superficie_total,superficie_util,precio,gastos_comunes,lat,long,precio_total,distancia_estacion,estacion_cercana
Cerrillos,3.0,1.0,1.0,0.0,80.0,80.0,450000.0,4000.0,-33.5056029,-70.7341143,454000.0,1980.4219451290535,Lo Errázuriz
Cerrillos,3.0,2.0,1.0,0.0,66.0,66.0,450000.0,55000.0,-33.5078782,-70.7246689,505000.0,1940.6233264947953,Lo Errázuriz
Cerrillos,3.0,2.0,0.0,0.0,90.0,80.0,580000.0,120000.0,-33.5038463,-70.7047006,700000.0,2241.3460446284303,Lo Errázuriz
Cerrillos,3.0,1.0,0.0,0.0,66.0,66.0,380000.0,5000.0,-33.5061895,-70.730548,385000.0,1887.0675639912647,Lo Errázuriz
Cerrillos,3.0,2.0,1.0,0.0,90.0,90.0,600000.0,80000.0,-33.5,-70.7333,680000.0,1436.6772003112062,Lo Errázuriz
Cerro Navia,1.0,1.0,0.0,0.0,25.0,25.0,280000.0,15000.0,-33.419287,-70.7179433,295000.0,2638.4009965662813,Blanqueado
Conchalí,3.0,2.0,1.0,0.0,65.0,65.0,470000.0,39000.0,-33.3942693,-70.6607849,509000.0,892.411829532546,Conchalí
Conchalí,2.0,1.0,1.0,0.0,55.0,55.0,420000.0,39000.0,-33.3942693,-70.6607849,459000.0,892.411829532546,Conchalí
Conchalí,3.0,2.0,1.0,0.0,65.0,65.0,480000.0,60000.0,-33.3960287,-70.6612856,540000.0,790.3065792194316,Conchalí
Conchalí,2.0,1.0,1.0,0.0,55.0,55.0,420000.0,40000.0,-33.3942693,-70.6607849,460000.0,892.411829532546,Conchalí
Conchalí,3.0,2.0,1.0,0.0,65.0,65.0,470000.0,40000.0,-33.3942693,-70.6607849,510000.0,892.411829532546,Conchalí
El Bosque,2.0,1.0,0.0,0.0,50.0,50.0,340000.0,70000.0,-33.5426078,-70.6772813,410000.0,1045.3663184681932,El Bosque
El Bosque,3.0,1.0,0.0,0.0,54.0,55.0,450000.0,0.0,-33.5426078,-70.6772813,450000.0,1045.3663184681932,El Bosque
El Bosque,3.0,1.0,0.0,0.0,55.0,52.0,350000.0,40000.0,-33.5672187,-70.6851855,390000.0,1130.2388418388282,Copa Lo Martínez
El Bosque,3.0,1.0,0.0,0.0,54.0,54.0,350000.0,50000.0,-33.5760849,-70.691673,400000.0,1596.0868447116143,El Pino
El Bosque,3.0,1.0,1.0,0.0,60.0,60.0,350000.0,33000.0,-33.5426078,-70.6772813,383000.0,1045.3663184681932,El Bosque
El Bosque,3.0,1.0,0.0,0.0,65.0,65.0,550000.0,40000.0,-33.5527555,-70.6743335,590000.0,928.26899330382,Observatorio
Huechuraba,3.0,2.0,1.0,1.0,132.0,120.0,1297835.0,120000.0,-33.3951882,-70.6129656,1417835.0,2751.3539791602357,Tobalaba
Huechuraba,2.0,2.0,1.0,1.0,92.0,77.0,850000.0,130000.0,-33.3850128,-70.6100403,980000.0,3084.827186628308,Zapadores
Huechuraba,3.0,2.0,1.0,1.0,67.0,67.0,650000.0,75000.0,-33.3649526,-70.6664265,725000.0,2038.982754025522,Cardenal Caro
Huechuraba,2.0,2.0,1.0,1.0,90.0,90.0,778701.0,160000.0,-33.3850412,-70.6142606,938701.0,2702.336908923416,Zapadores
Huechuraba,3.0,2.0,1.0,1.0,78.0,74.0,654109.0,90000.0,-33.3542171,-70.6807199,744109.0,1555.401784443539,Los Libertadores
Huechuraba,3.0,2.0,1.0,1.0,70.0,67.0,650000.0,90000.0,-33.3649526,-70.6664265,740000.0,2038.982754025522,Cardenal Caro
Huechuraba,3.0,2.0,1.0,1.0,70.0,70.0,650000.0,100000.0,-33.3648058,-70.666414,750000.0,2047.3392308791642,Cardenal Caro
Huechuraba,2.0,2.0,1.0,1.0,87.37,73.78,746255.0,70000.0,-33.343993,-70.6743253,816255.0,2830.4832939256285,Los Libertadores
Huechuraba,2.0,2.0,1.0,0.0,86.0,76.0,800000.0,125000.0,-33.3839223,-70.6161776,925000.0,2564.814918896192,Zapadores
Huechuraba,3.0,3.0,1.0,0.0,140.0,120.0,1500000.0,200000.0,-33.3839518,-70.6102083,1700000.0,3096.921428655767,Zapadores
Huechuraba,4.0,3.0,2.0,1.0,140.0,140.0,800000.0,160000.0,-33.339084,-70.6687311,960000.0,3572.832074211525,Los Libertadores
Huechuraba,1.0,1.0,1.0,1.0,44.15,44.15,650000.0,40000.0,-33.3839223,-70.6161776,690000.0,2564.814918896192,Zapadores
Huechuraba,3.0,3.0,2.0,1.0,147.0,115.0,900000.0,200000.0,-33.384168,-70.6121047,1100000.0,2920.4426584738944,Zapadores
Huechuraba,3.0,2.0,1.0,1.0,107.0,97.0,800000.0,110000.0,-33.3403603,-70.6724636,910000.0,3265.1834083668427,Los Libertadores
Huechuraba,2.0,2.0,1.0,1.0,72.0,68.0,670000.0,85000.0,-33.3547153,-70.6831594,755000.0,1384.9643188986722,Los Libertadores
Huechuraba,3.0,2.0,1.0,1.0,70.0,70.0,690000.0,90000.0,-33.3649526,-70.6664265,780000.0,2038.982754025522,Cardenal Caro
Huechuraba,4.0,3.0,2.0,1.0,220.0,150.0,1200000.0,135000.0,-33.3403603,-70.6724636,1335000.0,3265.1834083668427,Los Libertadores
Huechuraba,2.0,2.0,1.0,0.0,69.38,64.1,697587.0,70000.0,-33.3438541,-70.6742036,767587.0,2849.584970288745,Los Libertadores
Huechuraba,2.0,2.0,1.0,0.0,70.0,67.0,620000.0,70000.0,-33.3839518,-70.6102083,690000.0,3096.921428655767,Zapadores
Huechuraba,3.0,2.0,2.0,1.0,101.0,91.0,750000.0,190000.0,-33.3846541,-70.611312,940000.0,2978.5794956087348,Zapadores
Huechuraba,2.0,2.0,1.0,0.0,74.0,68.0,697587.0,0.0,-33.344273,-70.673884,697587.0,2826.5432160810665,Los Libertadores
Huechuraba,2.0,2.0,11.0,1.0,65.0,60.0,600000.0,90000.0,-33.3470706,-70.6709151,690000.0,2747.744984594995,Los Libertadores
Huechuraba,2.0,2.0,1.0,1.0,67.0,57.0,584026.0,120000.0,-33.3839518,-70.6102083,704026.0,3096.921428655767,Zapadores
Huechuraba,2.0,2.0,1.0,1.0,90.0,75.0,620000.0,140000.0,-33.384618,-70.6089281,760000.0,3195.1602165909,Zapadores
Huechuraba,3.0,2.0,1.0,1.0,130.0,112.0,859167.0,130000.0,-33.339084,-70.6687311,989167.0,3572.832074211525,Los Libertadores
Huechuraba,2.0,2.0,1.0,1.0,100.0,93.0,620000.0,180000.0,-33.3901998,-70.6114578,800000.0,2883.8510699440512,Zapadores
Huechuraba,2.0,3.0,1.0,1.0,120.0,105.0,843593.0,130000.0,-33.3852366,-70.6087124,973593.0,3200.4494089609725,Zapadores
Huechuraba,3.0,2.0,1.0,1.0,90.0,85.0,750000.0,90000.0,-33.3542407,-70.6820204,840000.0,1485.0102039840276,Los Libertadores
Huechuraba,2.0,2.0,1.0,1.0,79.03,70.01,650000.0,0.0,-33.3542857,-70.6707225,650000.0,2229.2656399993903,Los Libertadores
Huechuraba,2.0,2.0,1.0,1.0,105.0,80.0,700000.0,120000.0,-33.3541519,-70.6828571,820000.0,1453.2947702835668,Los Libertadores
Huechuraba,3.0,3.0,2.0,1.0,170.0,140.0,1400000.0,280000.0,-33.3907536,-70.6046101,1680000.0,2992.2160147269774,El Golf
Huechuraba,3.0,2.0,1.0,0.0,76.0,74.0,675000.0,75000.0,-33.352772,-70.681569,750000.0,1646.147765967236,Los Libertadores
Huechuraba,3.0,2.0,1.0,0.0,132.0,120.0,1003227.0,150000.0,-33.3951882,-70.6129656,1153227.0,2751.3539791602357,Tobalaba
Huechuraba,3.0,2.0,1.0,1.0,70.0,72.0,690000.0,90000.0,-33.368451,-70.665014,780000.0,2024.5678934270584,Cardenal Caro
Huechuraba,3.0,2.0,1.0,1.0,77.98,74.0,675000.0,75000.0,-33.3537644,-70.6793491,750000.0,1672.8565360476432,Los Libertadores
Huechuraba,4.0,2.0,2.0,1.0,210.0,140.0,1200000.0,130000.0,-33.3414736,-70.6733688,1330000.0,3115.7198846481915,Los Libertadores
Huechuraba,2.0,2.0,2.0,1.0,95.0,87.0,750000.0,150000.0,-33.3832535,-70.6105296,900000.0,3088.5259484498356,Zapadores
